disease,edge_type,target,target_type,notes
Cirrhosis of Liver,INDICATES_LAB,Albumin,LabTest,
Cirrhosis of Liver,FIRST_LINE_TREATMENT,Furosemide,Drug,for ascites
Cirrhosis of Liver,CONTRAINDICATED_WITH,NSAIDs,Drug,hepatotoxic/renal risk
Chronic Hepatitis C,HAS_SYMPTOM,Fatigue,Symptom,
Chronic Hepatitis C,HAS_SYMPTOM,Jaundice,Symptom,
Chronic Hepatitis C,INDICATES_LAB,Alanine Aminotransferase (ALT),LabTest,
Chronic Hepatitis C,FIRST_LINE_TREATMENT,Sofosbuvir,Drug,direct-acting antiviral
Gastroesophageal Reflux Disease,HAS_SYMPTOM,Heartburn,Symptom,
Gastroesophageal Reflux Disease,HAS_SYMPTOM,Regurgitation,Symptom,
Gastroesophageal Reflux Disease,FIRST_LINE_TREATMENT,Omeprazole,Drug,
Peptic Ulcer Disease,HAS_SYMPTOM,Abdominal Pain,Symptom,
Peptic Ulcer Disease,HAS_SYMPTOM,Nausea,Symptom,
Peptic Ulcer Disease,FIRST_LINE_TREATMENT,Omeprazole,Drug,
Peptic Ulcer Disease,CONTRAINDICATED_WITH,NSAIDs,Drug,worsens ulceration
Deep Vein Thrombosis,HAS_SYMPTOM,Leg Swelling,Symptom,
Deep Vein Thrombosis,HAS_SYMPTOM,Leg Pain,Symptom,
Deep Vein Thrombosis,INDICATES_LAB,D-Dimer,LabTest,
Deep Vein Thrombosis,FIRST_LINE_TREATMENT,Heparin,Drug,
Deep Vein Thrombosis,FIRST_LINE_TREATMENT,Warfarin,Drug,
Pulmonary Embolism,HAS_SYMPTOM,Dyspnea,Symptom,
Pulmonary Embolism,HAS_SYMPTOM,Chest Pain,Symptom,
Pulmonary Embolism,INDICATES_LAB,D-Dimer,LabTest,
Pulmonary Embolism,FIRST_LINE_TREATMENT,Heparin,Drug,
Urinary Tract Infection,HAS_SYMPTOM,Dysuria,Symptom,
Urinary Tract Infection,HAS_SYMPTOM,Urinary Frequency,Symptom,
Urinary Tract Infection,INDICATES_LAB,White Blood Cells,LabTest,
Urinary Tract Infection,FIRST_LINE_TREATMENT,Nitrofurantoin,Drug,
Urinary Tract Infection,CONTRAINDICATED_WITH,Nitrofurantoin,Drug,contraindicated if eGFR<30
Major Depressive Disorder,HAS_SYMPTOM,Depressed Mood,Symptom,
Major Depressive Disorder,HAS_SYMPTOM,Anhedonia,Symptom,
Major Depressive Disorder,FIRST_LINE_TREATMENT,Sertraline,Drug,
Bipolar Disorder,HAS_SYMPTOM,Mood Swings,Symptom,
Bipolar Disorder,HAS_SYMPTOM,Mania,Symptom,
Bipolar Disorder,FIRST_LINE_TREATMENT,Lithium,Drug,
Bipolar Disorder,INDICATES_LAB,Creatinine,LabTest,monitor renal function on lithium
Osteoarthritis,HAS_SYMPTOM,Joint Pain,Symptom,
Osteoarthritis,HAS_SYMPTOM,Joint Stiffness,Symptom,
Osteoarthritis,CONTRAINDICATED_WITH,NSAIDs,Drug,caution in CKD patients
